sipl,container,supplier,status,port_eta,location_eta,sipl_status,Ocean Freight_status,Customs_status,Duty_status,Drayage_status,overall_status,missing_categories,pending_categories
170371,TLLU3415434,Natural Stones S.R.L.,INTRANSIT,7/6/2026,7/13/2026,SIPL Ready,Complete,Complete,Complete,Pending,Pending,,Drayage
170394,MSDU7956662,COEM /FIORENESE,INTRANSIT,6/22/2026,6/26/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170394B,MSDU7956662,COEM /FIORENESE,INTRANSIT,6/22/2026,6/26/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170395,MSDU7956662,Kronos 2 Ceramiche S.p.A,INTRANSIT,6/22/2026,6/26/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170395B,MSDU8402053,Kronos 2 Ceramiche S.p.A,INTRANSIT,6/22/2026,6/26/2026,SIPL Ready,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170396,MSDU7956662,Tuscania S.P.A,INTRANSIT,6/22/2026,6/26/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170491,MEDU6282162,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,7/8/2026,7/15/2026,D.Os  Received,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170525,MSDU7956662,Kronos 2 Ceramiche S.p.A,INTRANSIT,6/22/2026,6/29/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170526,MSDU7956662,"StonePeak Ceramics, Inc",INTRANSIT,6/22/2026,6/26/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170559,MSMU1234761,Brasigran Brasileira de Granitos Ltda,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Complete,Complete,Complete,Pending,Pending,,Drayage
170560,MSMU3159564,Cosmos Stones Dogal Tas Ic Ve Dis Ticaret Limited Sirketi,INTRANSIT,7/2/2026,7/7/2026,At branch,Complete,Complete,Complete,Complete,Complete,,
170568,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170621,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170671,MEDU3110874,Marmoles Man Srl,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Complete,Complete,Missing,Missing,Missing,"Duty, Drayage",
170686,MSNU7395469,Kronos 2 Ceramiche S.p.A,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170690,MSNU3849619,Max Marmi Carrara s.r.l,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Complete,Complete,Pending,Pending,Pending,,"Duty, Drayage"
170692,MSNU3849619,Tre Emme Import Export S.R.L,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Complete,Complete,Pending,Pending,Pending,,"Duty, Drayage"
170696,HPCU2621975,Thor Bahia Granitos LTDA - EPP,INTRANSIT,7/12/2026,7/19/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170699,MEDU6558203,Thor Bahia Granitos LTDA - EPP,INTRANSIT,7/8/2026,7/15/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170709,FCIU2969902,Granito Zucchi LTDA,INTRANSIT,7/9/2026,7/16/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170831,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170940,MSDU2926198,Qualita Granitos E Marmores Ltda,INTRANSIT,6/25/2026,6/26/2026,Damaged,Complete,Complete,Complete,Pending,Pending,,Drayage
170946,MEDU6027974,Mineral Stone Exportacao Ltda,INTRANSIT,7/6/2026,7/13/2026,Freight Invoice Needed,Complete,Complete,Complete,Pending,Pending,,Drayage
170979,MSMU1056280,Bonotti,INTRANSIT,7/12/2026,7/19/2026,SIPL Ready,Complete,Complete,Pending,Pending,Pending,,"Duty, Drayage"
170979B,XHCU2466631,Bonotti,INTRANSIT,7/9/2026,7/16/2026,SIPL Ready,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
170982,TGBU1100078,Viemme Marmi Srl,INTRANSIT,7/9/2026,7/16/2026,SIPL Ready,Complete,Missing,Missing,Missing,Missing,"Customs, Duty, Drayage",
170995,MEDU3110874,IL Fiorino Marmi SRL,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Complete,Complete,Missing,Missing,Missing,"Duty, Drayage",
171007,MSBU2891725,ANTOLINI LUIGI & C. S.P.A.,INTRANSIT,7/7/2026,7/14/2026,SIPL Ready,Complete,Missing,Missing,Missing,Missing,"Customs, Duty, Drayage",
171115,DFSU2940081,Bramagran,INTRANSIT,7/8/2026,7/15/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
171118,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
171174,SEGU3671280,NIKOLAUS BAGNARA SPA - AG,INTRANSIT,7/9/2026,7/16/2026,SIPL Ready,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
171204,MSMU1207869,Brasigran Brasileira de Granitos Ltda,INTRANSIT,7/12/2026,7/19/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
171210,TRHU1979741,Qualita Granitos E Marmores Ltda,INTRANSIT,7/8/2026,7/15/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
171238,MSMU2089056,Gramil Granitos E Marmores Itapemirim LTDA,INTRANSIT,7/8/2026,7/15/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
171359,MSNU7395469,Emilceramica S.r.l (dba Emilgroup),INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
171364,TGCU0143090,Qualita Granitos E Marmores Ltda,INTRANSIT,7/12/2026,7/19/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
171365,TCKU3393258,Mineral Stone Exportacao Ltda,INTRANSIT,7/12/2026,7/19/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
171396,MSMU2397315,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,7/12/2026,7/19/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
